numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
2.8760705376E10,ATLAS FORMATION,Normandie,6,607,14.53,Sécurité,Non
8.2260207426E10,ATM CONSULTNG,Auvergne-Rhône-Alpes,6,171,12.71,Tech/Digital,Non
2.850014365E10,ATO FORMATIONS,Normandie,6,401,13.67,Santé,Non
7.3650011565E10,ATRIUM ASSOCIATION,Occitanie,6,256,13.07,Soft Skills,Non
7.5331549333E10,ATSUKO SHIATSU,Nouvelle-Aquitaine,6,80,12.33,Santé,Non
9.3060692406E10,ATTITUDE NAILS ACADEMY,Provence-Alpes-Côte d'Azur,6,123,12.51,Services,Non
7.6110140211E10,AUDE PERMIS.COM,Occitanie,6,335,13.40,Services,Non
1.1930351193E10,AUDIOVISUEL ASSISTANCE & SERVICE,Île-de-France,6,55,12.23,Tech/Digital,Non
2.3760536576E10,AUDISEE,Normandie,6,1306,17.44,Autre,Non
7.5331529033E10,AUGUSTINE,Nouvelle-Aquitaine,6,45,12.19,Langues,Non
8.4691582769E10,AUTO ECOLE 2L,Auvergne-Rhône-Alpes,6,108,12.45,Services,Oui
8.4420340142E10,AUTO-ECOLE AERS CHAUVE,Auvergne-Rhône-Alpes,6,207,12.86,Services,Non
7.5640501464E10,AUTO ECOLE ANNETTE MICHEL,Nouvelle-Aquitaine,6,805,15.35,Soft Skills,Non
2.1510168451E10,AUTO ECOLE ARAGO,Grand Est,6,84,12.35,Services,Non
3.260034886E10,AUTO ECOLE BENKO,Hauts-de-France,6,117,12.49,Soft Skills,Non
4.4670629467E10,AUTO ECOLE BEST CONDUITE,Grand Est,6,388,13.62,Soft Skills,Non
8.4420307642E10,AUTO ECOLE BOUSSAND,Auvergne-Rhône-Alpes,6,105,12.44,Soft Skills,Non
1.1788363878E10,AUTO ECOLE C.CIAL BRIGITTE,Île-de-France,6,190,12.79,Autre,Non
7.6650093465E10,AUTO ECOLE CONTACT EURL,Occitanie,6,80,12.33,Soft Skills,Non
2.6710232971E10,AUTO ECOLE  DEFI-PERMIS,Bourgogne-Franche-Comté,6,34,12.14,Soft Skills,Non
1.1940972994E10,auto ecole de la mairie,Île-de-France,6,128,12.53,Soft Skills,Non
1.1910838991E10,AUTO-ECOLE DE LA PLACE,Île-de-France,6,308,13.28,Autre,Non
5.2720178372E10,AUTO-ECOLE DE PONTLIEUE,Pays de la Loire,6,144,12.60,Soft Skills,Non
8.4010260401E10,AUTO ECOLE DU BAS BUGEY,Auvergne-Rhône-Alpes,6,1,12.00,Autre,Non
8.4380700438E10,AUTO-ECOLE DU BOURG NEUF,Auvergne-Rhône-Alpes,6,450,13.88,Santé,Non
