Rang,Dénomination,SIREN,Ville,CP,Région,Effectif,Stagiaires,Spécialité,Score,Priorité,Production_est,Email,LinkedIn,Statut,Notes
107,B2C PROJET,442358428,,,Provence-Alpes-Côte d'Azur,8,1027,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,20.3,,,,
108,RK2C FORMATION,883922627,,,Provence-Alpes-Côte d'Azur,8,881,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,19.7,,,,
109,ABAQ CONSEIL,403419938,,,Auvergne-Rhône-Alpes,8,836,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,19.5,,,,
110,ASS. LYONNAISE DE GESTION D'ETS POUR PERSONNES DEFICIENTES,775643232,CALUIRE ET CUIRE,69300,Auvergne-Rhône-Alpes,9,834,Développement des capacités comportementales et relationnelles,85.0,🟠,21.5,,,,
111,RELIANCE SARL,041218518,ECHIROLLES,38130,Auvergne-Rhône-Alpes,7,817,"Enseignement, formation",85.0,🟠,17.4,,,,
112,PROVENCE FORM'EVENT,504131251,,,Occitanie,5,796,Développement des capacités comportementales et relationnelles,85.0,🟠,13.3,,,,
113,CAROLE HADJ MAHDI,498019462,,,Provence-Alpes-Côte d'Azur,10,784,Développement des capacités comportementales et relationnelles,85.0,🟠,23.3,,,,
114,ADC RESSOURCES ET POTENTIEL / GONOGO,801543455,BEGLES,33130,Nouvelle-Aquitaine,5,761,"Commerce, vente",85.0,🟠,13.2,,,,
115,CAPEYROND NORD,801196528,MERIGNAC,33700,Nouvelle-Aquitaine,4,761,Bâtiment: construction et couverture,85.0,🟠,11.2,,,,
116,AFS PREVENTION,978266062,AUBIERE,63170,Auvergne-Rhône-Alpes,4,730,Spécialités plurivalentes sanitaires et sociales,85.0,🟠,11.0,,,,
117,LOPEZ Pierre,438301988,LIBOURNE,33500,Nouvelle-Aquitaine,5,705,"Enseignement, formation",85.0,🟠,12.9,,,,
118,CENTRE DE FORMATION ET DE SECURITE ROUTIERE NORD BASSIN,893421883,ANDERNOS LES BAINS,33510,Nouvelle-Aquitaine,5,700,"Enseignement, formation",85.0,🟠,12.9,,,,
119,J3R,751717992,NEUILLY SUR SEINE,92200,Île-de-France,4,684,"Commerce, vente",85.0,🟠,10.8,,,,
120,SYNPEAK,789660164,ANNECY,74000,Auvergne-Rhône-Alpes,5,613,Santé,85.0,🟠,12.6,,,,
121,DUHAUT AVOCATS,848595021,NICE,62000,Provence-Alpes-Côte d'Azur,4,613,Formations générales,85.0,🟠,10.6,,,,
122,INSTITUT POUR LA PRATIQUE ET L'INNOVATION EN psyCHOLOGIE APPLIQUEE - Institut PI-PSY,877892646,,,Île-de-France,4,608,Psychologie,85.0,🟠,10.5,,,,
123,TRICKY,831023445,BORDEAUX,33070,Nouvelle-Aquitaine,5,597,Développement des capacités comportementales et relationnelles,85.0,🟠,12.5,,,,
124,SVD GESTION,794659946,RUEIL MALMAISON,92500,Île-de-France,4,550,"Comptabilité, gestion",85.0,🟠,10.3,,,,
125,SAS ARAMIS,512113481,,,Nouvelle-Aquitaine,5,535,"Productions animales, élevage spécialisé, aquaculture, ...",85.0,🟠,12.2,,,,
126,MORGAN DETOISIEN,438408676,ST LO,50000,Normandie,5,533,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,12.2,,,,
127,IMAGINE,511781098,VANDOEUVRE LES NANCY,54500,Grand Est,5,521,"Français, littérature et civilisation françaises",85.0,🟠,12.2,,,,
128,OSTRA FORMATION,794051391,ST GERMAIN EN LAYE,78100,Île-de-France,6,504,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,14.1,,,,
129,WORK'N ROLL - LE LAB,879020162,ST PAUL,97460,La Réunion,4,502,Développement des capacités comportementales et relationnelles,85.0,🟠,10.1,,,,
130,GROUPE PACE,502081326,GRAS,77000,Auvergne-Rhône-Alpes,4,495,Développement des capacités comportementales et relationnelles,85.0,🟠,10.1,,,,
131,DIVERSIDEES,524748399,,,Île-de-France,4,492,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,10.1,,,,
132,PASSERELLE7,789215728,,,Île-de-France,4,485,Développement des capacités comportementales et relationnelles,85.0,🟠,10.0,,,,
133,SCICABULLE,813890274,LYON 07,69007,Auvergne-Rhône-Alpes,4,471,"Enseignement, formation",85.0,🟠,10.0,,,,
134,LORCOLSIM,794511972,SOYAUX,16800,Nouvelle-Aquitaine,5,469,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,12.0,,,,
135,BELLARC FORMATION,830977716,,,Île-de-France,5,451,"Enseignement, formation",85.0,🟠,11.9,,,,
136,AUTO ECOLE ESPACE COUBERTIN,789052982,VILLENOY,77124,Île-de-France,5,446,"Enseignement, formation",85.0,🟠,11.9,,,,
137,REFLEXE SANTE & SECOURS AU TRAVAIL,797601424,PONTOISE,95300,Île-de-France,5,445,"Enseignement, formation",85.0,🟠,11.9,,,,
138,EQUORANDA,451325898,,,Auvergne-Rhône-Alpes,5,441,Développement des capacités comportementales et relationnelles,85.0,🟠,11.8,,,,
139,SOSTEN SAS,812925113,,,Île-de-France,5,441,Développement des capacités comportementales et relationnelles,85.0,🟠,11.8,,,,
140,AUTO ECOLE LECLERC MANTES,832199046,,,Île-de-France,4,416,"Enseignement, formation",85.0,🟠,9.7,,,,
141,HORISIS CONSEIL,481447944,PARIS 10,75010,Île-de-France,5,415,"Enseignement, formation",85.0,🟠,11.7,,,,
142,CENTRE 43,909822785,SEVRAN,93270,Île-de-France,5,410,"Enseignement, formation",85.0,🟠,11.7,,,,
143,SAS CENTRALE PERMIS,793344912,ST DENIS,93200,Île-de-France,5,409,"Enseignement, formation",85.0,🟠,11.7,,,,
144,BIL S CONDUITE LONGJUMEAU,888089273,LONGJUMEAU,91160,Île-de-France,5,408,"Enseignement, formation",85.0,🟠,11.7,,,,
145,IFEH,385132071,NOISY LE SEC,93130,Île-de-France,5,408,Linguistique,85.0,🟠,11.7,,,,
146,CORELATIONS,507540474,ST DENIS,93200,Île-de-France,5,406,Développement des capacités comportementales et relationnelles,85.0,🟠,11.7,,,,
147,AUTO ECOLE DU PARC LAYET,751415878,ST LAURENT DU VAR,67000,Provence-Alpes-Côte d'Azur,5,404,"Enseignement, formation",85.0,🟠,11.7,,,,
148,OSTIANE MATHON LABLEARN,793813734,,,Île-de-France,5,400,"Enseignement, formation",85.0,🟠,11.7,,,,
149,TAVERNIER PIERRE - AT CONSEIL,450883244,CENVES,69840,Auvergne-Rhône-Alpes,3,400,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,7.7,,,,
150,JDN,819147083,LES PENNES MIRABEAU,13170,Provence-Alpes-Côte d'Azur,5,395,"Enseignement, formation",85.0,🟠,11.6,,,,
151,SAS CDC CONTACTS (MME DURVILLE),789256492,,,Île-de-France,4,392,"Transport, manutention, magasinage",85.0,🟠,9.6,,,,
152,PROVEO,910403807,BIOT,64100,Provence-Alpes-Côte d'Azur,5,388,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.6,,,,
153,ABER,347706095,,,Bretagne,5,387,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.6,,,,
